Recommended taxon name,Recommended taxon version,Reporting category,Designation,Designation abbreviation
Actaea spicata,NBNSYS0000002699,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Actaea spicata,NBNSYS0000002699,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Adonis annua,NBNSYS0000002739,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Adonis annua,NBNSYS0000002739,Red listing based on 2001 IUCN guidelines,Endangered,RedList_GB_post2001-EN
Adonis annua,NBNSYS0000002739,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Adonis annua,NBNSYS0000002739,Red listing based on 2001 IUCN guidelines,Endangered,RedList_ENG_post2001-EN
Adonis annua,NBNSYS0000002739,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Adoxa moschatellina,NBNSYS0000004336,The Wildlife (Northern Ireland) Order 1985,Schedule 8 - Part 1,W(NI)O-Sch8_part1
Adoxa moschatellina,NBNSYS0000004336,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Adoxa moschatellina,NBNSYS0000004336,Biodiversity Lists - Northern Ireland,Priority Species (Northern Ireland),NI_Priority
Adoxa moschatellina,NBNSYS0000004336,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Aegopodium podagraria,NBNSYS0000003684,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Aegopodium podagraria,NBNSYS0000003684,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Aethusa cynapium,NBNSYS0000003696,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Aethusa cynapium,NBNSYS0000003696,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Aethusa cynapium subsp. agrestis,NHMSYS0000455630,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Aethusa cynapium subsp. agrestis,NHMSYS0000455630,Red listing based on 2001 IUCN guidelines,Waiting List,WL
Aethusa cynapium subsp. cynapium,NHMSYS0000455632,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Aethusa cynapium subsp. cynapium,NHMSYS0000455632,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
