Recommended taxon name,Recommended taxon version,Reporting category,Designation,Designation abbreviation
Dermestes (Dermestinus) murinus,NHMSYS0001717890,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dermestes (Dermestinus) murinus,NHMSYS0001717890,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Dermestes (Dermestinus) undulatus,NHMSYS0001717891,"Nationally Scarce, Nationally Rare and Other Species",Nationally Rare. Includes Red Listed taxa,NR-includes
Dermestes (Dermestinus) undulatus,NHMSYS0001717891,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_GB_post2001-VU
Derocrepis rufipes,NBNSYS0000011286,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Deronectes latus,NBNSYS0000007570,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Dexiogyia corticina,NBNSYS0000024060,Rare and scarce species (not based on IUCN criteria),Nationally Notable,Notable
Diabrotica virgifera,NHMSYS0020152004,Red listing based on 2001 IUCN guidelines,Not Evaluated,RedList_GB_post2001-NE
Diacanthous undulatus,NHMSYS0001717906,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Diachromus germanus,NBNSYS0000007414,"Nationally Scarce, Nationally Rare and Other Species",Nationally Rare. Includes Red Listed taxa,NR-includes
Diachromus germanus,NBNSYS0000007414,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_GB_post2001-VU
Diaperis boleti,NBNSYS0000024831,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Diaperis boleti,NBNSYS0000024831,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Diastictus vulneratus,NBNSYS0000011520,"Nationally Scarce, Nationally Rare and Other Species",Nationally Rare. Includes Red Listed taxa,NR-includes
Diastictus vulneratus,NBNSYS0000011520,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_GB_post2001-VU
Dibolia cynoglossi,NHMSYS0020152009,"Nationally Scarce, Nationally Rare and Other Species",Nationally Rare. Includes Red Listed taxa,NR-includes
Dibolia cynoglossi,NHMSYS0020152009,Red listing based on 2001 IUCN guidelines,Endangered,RedList_GB_post2001-EN
Dicheirotrichus gustavii,NHMSYS0001717913,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dicheirotrichus obsoletus,NBNSYS0000007416,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Dicheirotrichus obsoletus,NBNSYS0000007416,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dicheirotrichus obsoletus,NBNSYS0000007416,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Dicronychus equiseti,NBNSYS0000010940,Red Listing based on pre 1994 IUCN guidelines,Vulnerable,RedList_GB_Pre94-VU
Dictyoptera aurora,NBNSYS0000024267,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_GB_post2001-VU
Dieckmanniellus gracilis,NHMSYS0020152011,Red Listing based on pre 1994 IUCN guidelines,Rare,RedList_GB_Pre94-R
Dienerella schueppeli,NBNSYS0000024739,Red Listing based on pre 1994 IUCN guidelines,IUCN (pre 1994) - Indeterminate,RedList_GB_Pre94-Inde
Diglotta mersa,NBNSYS0000023685,Rare and scarce species (not based on IUCN criteria),Nationally Notable,Notable
Dimetrota laevana,NHMSYS0001717939,Red Listing based on pre 1994 IUCN guidelines,IUCN (pre 1994) - Insufficiently known,RedList_GB_Pre94-Insu
Dinarda dentata,NBNSYS0000023987,Rare and scarce species (not based on IUCN criteria),Nationally Notable,Notable
Dinarda hagensi,NBNSYS0000023988,Red Listing based on pre 1994 IUCN guidelines,IUCN (pre 1994) - Indeterminate,RedList_GB_Pre94-Inde
Dinarda pygmaea,NBNSYS0000023990,Red Listing based on pre 1994 IUCN guidelines,IUCN (pre 1994) - Indeterminate,RedList_GB_Pre94-Inde
Dinoptera collaris,NHMSYS0020152020,Red Listing based on pre 1994 IUCN guidelines,Endangered,RedList_GB_Pre94-EN
Dinothenarus pubescens,NHMSYS0001717950,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Diplapion stolidum,NBNSYS0000025037,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Diplocoelus fagi,NHMSYS0020152024,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Dissoleucas niveirostris,NHMSYS0020152026,Red Listing based on pre 1994 IUCN guidelines,Vulnerable,RedList_GB_Pre94-VU
Dochmonota clancula,NBNSYS0000023806,Rare and scarce species (not based on IUCN criteria),Nationally Notable,Notable
Dolichosoma lineare,NBNSYS0000024393,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dolichosoma lineare,NBNSYS0000024393,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Donacia aquatica,NBNSYS0000011085,Biodiversity Lists - Northern Ireland,Priority Species (Northern Ireland),NI_Priority
Donacia aquatica,NBNSYS0000011085,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Donacia aquatica,NBNSYS0000011085,Biodiversity Lists - Wales,Env (Wales) Act S7,Env (Wales) Act S7
Donacia aquatica,NBNSYS0000011085,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_GB_post2001-VU
Donacia aquatica,NBNSYS0000011085,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Donacia aquatica,NBNSYS0000011085,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Donacia aquatica,NBNSYS0000011085,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Donacia bicolora,NBNSYS0000011086,Biodiversity Lists - Northern Ireland,Priority Species (Northern Ireland),NI_Priority
Donacia bicolora,NBNSYS0000011086,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Donacia bicolora,NBNSYS0000011086,Biodiversity Lists - Wales,Env (Wales) Act S7,Env (Wales) Act S7
Donacia bicolora,NBNSYS0000011086,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Donacia bicolora,NBNSYS0000011086,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Donacia bicolora,NBNSYS0000011086,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Donacia cinerea,NBNSYS0000011087,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Donacia cinerea,NBNSYS0000011087,Biodiversity Lists - Northern Ireland,Priority Species (Northern Ireland),NI_Priority
Donacia cinerea,NBNSYS0000011087,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Donacia cinerea,NBNSYS0000011087,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Donacia cinerea,NBNSYS0000011087,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Donacia clavipes,NBNSYS0000011088,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Donacia clavipes,NBNSYS0000011088,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Donacia crassipes,NHMSYS0020152031,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Donacia crassipes,NHMSYS0020152031,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Donacia crassipes,NHMSYS0020152031,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Donacia crassipes,NHMSYS0020152031,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Donacia dentata,NBNSYS0000011090,Rare and scarce species (not based on IUCN criteria),Nationally Notable A,Notable-A
Donacia dentata,NBNSYS0000011090,"Nationally Scarce, Nationally Rare and Other Species",Nationally Rare. Includes Red Listed taxa,NR-includes
Donacia dentata,NBNSYS0000011090,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_GB_post2001-VU
Donacia impressa,NBNSYS0000011091,Rare and scarce species (not based on IUCN criteria),Nationally Notable A,Notable-A
Donacia impressa,NBNSYS0000011091,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Donacia impressa,NBNSYS0000011091,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Donacia impressa,NBNSYS0000011091,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Donacia marginata,NBNSYS0000011092,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Donacia marginata,NBNSYS0000011092,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Donacia obscura,NBNSYS0000011093,Rare and scarce species (not based on IUCN criteria),Nationally Notable A,Notable-A
Donacia obscura,NBNSYS0000011093,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Donacia obscura,NBNSYS0000011093,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Donacia obscura,NBNSYS0000011093,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Donacia semicuprea,NBNSYS0000011094,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Donacia simplex,NHMSYS0020152036,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Donacia sparganii,NBNSYS0000011096,Rare and scarce species (not based on IUCN criteria),Nationally Notable A,Notable-A
Donacia sparganii,NBNSYS0000011096,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_GB_post2001-VU
Donacia sparganii,NBNSYS0000011096,"Nationally Scarce, Nationally Rare and Other Species",Nationally Rare. Includes Red Listed taxa,NR-includes
Donacia sparganii,NBNSYS0000011096,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Donacia thalassina,NBNSYS0000011097,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Donacia thalassina,NBNSYS0000011097,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Donacia thalassina,NBNSYS0000011097,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Donacia thalassina,NBNSYS0000011097,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Donacia versicolorea,NBNSYS0000011098,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Donacia vulgaris,NBNSYS0000011099,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Donacia vulgaris,NBNSYS0000011099,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Dorcatoma ambjoerni,NBNSYS0000033276,"Nationally Scarce, Nationally Rare and Other Species",Nationally Rare. Includes Red Listed taxa,NR-includes
Dorcatoma ambjoerni,NBNSYS0000033276,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dorcatoma chrysomelina,NHMSYS0001717956,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dorcatoma dresdensis,NBNSYS0000024327,Rare and scarce species (not based on IUCN criteria),Nationally Notable A,Notable-A
Dorcatoma dresdensis,NBNSYS0000024327,Biodiversity Lists - Northern Ireland,Priority Species (Northern Ireland),NI_Priority
Dorcatoma dresdensis,NBNSYS0000024327,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dorcatoma dresdensis,NBNSYS0000024327,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Dorcatoma flavicornis,NHMSYS0001717957,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Dorcatoma flavicornis,NHMSYS0001717957,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Dorcatoma flavicornis,NHMSYS0001717957,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dorcatoma substriata,NHMSYS0020082063,Rare and scarce species (not based on IUCN criteria),Nationally Notable A,Notable-A
Dorcatoma substriata,NHMSYS0020082063,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dorcatoma substriata,NHMSYS0020082063,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Dorcus parallelipipedus,NBNSYS0000011449,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dorytomus affinis,NBNSYS0000025308,Red Listing based on pre 1994 IUCN guidelines,Vulnerable,RedList_GB_Pre94-VU
Dorytomus filirostris,NBNSYS0000025310,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Dorytomus hirtipennis,NBNSYS0000025311,Rare and scarce species (not based on IUCN criteria),Nationally Notable A,Notable-A
Dorytomus ictor,NBNSYS0000025312,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Dorytomus majalis,NHMSYS0020152045,Red Listing based on pre 1994 IUCN guidelines,IUCN (pre 1994) - Insufficiently known,RedList_GB_Pre94-Insu
Dorytomus salicinus,NBNSYS0000025317,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Dorytomus salicis,NBNSYS0000025318,Rare and scarce species (not based on IUCN criteria),Nationally Notable A,Notable-A
Dorytomus tremulae,NHMSYS0020152050,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Drilus flavescens,NBNSYS0000024224,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dromius agilis,NHMSYS0001717970,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dromius angustus,NHMSYS0001717971,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dromius angustus,NHMSYS0001717971,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Dromius meridionalis,NBNSYS0000007471,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dromius quadrimaculatus,NBNSYS0000007473,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dropephylla gracilicornis,NBNSYS0000023141,Rare and scarce species (not based on IUCN criteria),Nationally Notable,Notable
Dropephylla heerii,NBNSYS0000023142,Rare and scarce species (not based on IUCN criteria),Nationally Notable,Notable
Drupenatus nasturtii,NBNSYS0000025428,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Dryocoetes alni,NHMSYS0020152055,Rare and scarce species (not based on IUCN criteria),Nationally Notable A,Notable-A
Dryophilus anobioides,NBNSYS0000024307,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dryophilus anobioides,NBNSYS0000024307,"Nationally Scarce, Nationally Rare and Other Species",Nationally Rare. Includes Red Listed taxa,NR-includes
Dryophilus pusillus,NBNSYS0000024308,Red listing based on 2001 IUCN guidelines,Not Evaluated,RedList_GB_post2001-NE
Dryophthorus corticalis,NBNSYS0000025276,Red Listing based on pre 1994 IUCN guidelines,Endangered,RedList_GB_Pre94-EN
Dryops (Dryops) anglicanus,NHMSYS0001717983,Red listing based on 2001 IUCN guidelines,Near Threatened,RedList_GB_post2001-NT
Dryops (Dryops) auriculatus,NHMSYS0001717984,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Dryops (Dryops) auriculatus,NHMSYS0001717984,Red listing based on 2001 IUCN guidelines,Near Threatened,RedList_GB_post2001-NT
Dryops (Dryops) griseus,NHMSYS0001717986,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_GB_post2001-VU
Dryops (Dryops) similaris,NHMSYS0001717988,Red Listing based on pre 1994 IUCN guidelines,Rare,RedList_GB_Pre94-R
Dryops (Dryops) similaris,NHMSYS0001717988,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Dryops (Dryops) similaris,NHMSYS0001717988,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Dryops (Dryops) striatellus,NHMSYS0001717989,Red Listing based on pre 1994 IUCN guidelines,Rare,RedList_GB_Pre94-R
Dryops (Dryops) striatellus,NHMSYS0001717989,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Dryops (Yrdops) nitidulus,NHMSYS0001717991,Red listing based on 2001 IUCN guidelines,Near Threatened,RedList_GB_post2001-NT
Dryops (Yrdops) nitidulus,NHMSYS0001717991,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Drypta dentata,NBNSYS0000007488,"Nationally Scarce, Nationally Rare and Other Species",Nationally Rare. Includes Red Listed taxa,NR-includes
Drypta dentata,NBNSYS0000007488,Red listing based on 2001 IUCN guidelines,Endangered,RedList_GB_post2001-EN
Dyschirius (Dyschiriodes) aeneus,NHMSYS0001718003,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dyschirius (Dyschiriodes) extensus,NHMSYS0001718004,Red listing based on 2001 IUCN guidelines,Critically Endangered (possibly extinct),RedList_GB_post2001-CR(PE)
Dyschirius (Dyschiriodes) extensus,NHMSYS0001718004,"Nationally Scarce, Nationally Rare and Other Species",Nationally Rare. Includes Red Listed taxa,NR-includes
Dyschirius (Dyschiriodes) globosus,NHMSYS0001718005,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dyschirius (Dyschiriodes) impunctipennis,NHMSYS0001718006,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Dyschirius (Dyschiriodes) impunctipennis,NHMSYS0001718006,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dyschirius (Dyschiriodes) impunctipennis,NHMSYS0001718006,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Dyschirius (Dyschiriodes) luedersi,NHMSYS0001718007,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dyschirius (Dyschiriodes) nitidus,NHMSYS0001718008,Rare and scarce species (not based on IUCN criteria),Nationally Notable A,Notable-A
Dyschirius (Dyschiriodes) nitidus,NHMSYS0001718008,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dyschirius (Dyschiriodes) nitidus,NHMSYS0001718008,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Dyschirius (Dyschiriodes) politus,NHMSYS0001718009,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Dyschirius (Dyschiriodes) politus,NHMSYS0001718009,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dyschirius (Dyschiriodes) salinus,NHMSYS0001718010,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dyschirius (Dyschiriodes) salinus,NHMSYS0001718010,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Dyschirius (Dyschirius) angustatus,NHMSYS0001718012,"Nationally Scarce, Nationally Rare and Other Species",Nationally Rare. Includes Red Listed taxa,NR-includes
Dyschirius (Dyschirius) angustatus,NHMSYS0001718012,Red listing based on 2001 IUCN guidelines,Near Threatened,RedList_GB_post2001-NT
Dyschirius (Dyschirius) obscurus,NHMSYS0001718013,Biodiversity Lists - Northern Ireland,Priority Species (Northern Ireland),NI_Priority
Dyschirius (Dyschirius) obscurus,NHMSYS0001718013,Red listing based on 2001 IUCN guidelines,Endangered,RedList_GB_post2001-EN
Dyschirius (Dyschirius) obscurus,NHMSYS0001718013,"Nationally Scarce, Nationally Rare and Other Species",Nationally Rare. Includes Red Listed taxa,NR-includes
Dyschirius (Dyschirius) thoracicus,NHMSYS0001718014,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Dyschirius (Dyschirius) thoracicus,NHMSYS0001718014,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Dytiscus circumcinctus,NBNSYS0000007628,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Dytiscus dimidiatus,NHMSYS0001718025,Red listing based on 2001 IUCN guidelines,Near Threatened,RedList_GB_post2001-NT
Dytiscus lapponicus,NBNSYS0000007631,Red listing based on 2001 IUCN guidelines,Near Threatened,RedList_GB_post2001-NT
Dytiscus lapponicus,NBNSYS0000007631,Biodiversity Lists - Northern Ireland,Priority Species (Northern Ireland),NI_Priority
Ebaeus pedicularius,NBNSYS0000024394,Red listing based on 2001 IUCN guidelines,Regionally Extinct,RedList_GB_post2001-RE
Elaphropus parvulus,NHMSYS0001718033,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Elaphropus parvulus,NHMSYS0001718033,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Elaphropus parvulus,NHMSYS0001718033,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Elaphropus quadrisignatus,NHMSYS0001718034,Red listing based on 2001 IUCN guidelines,Not Evaluated,RedList_GB_post2001-NE
Elaphropus walkerianus,NHMSYS0001718035,Red Listing based on pre 1994 IUCN guidelines,Endangered,RedList_GB_Pre94-EN
Elaphropus walkerianus,NHMSYS0001718035,Red listing based on 2001 IUCN guidelines,Near Threatened,RedList_GB_post2001-NT
Elaphropus walkerianus,NHMSYS0001718035,"Nationally Scarce, Nationally Rare and Other Species",Nationally Rare. Includes Red Listed taxa,NR-includes
Elaphrus (Elaphrus) cupreus,NHMSYS0001718038,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Elaphrus (Elaphrus) lapponicus,NHMSYS0001718039,Rare and scarce species (not based on IUCN criteria),Nationally Notable A,Notable-A
Elaphrus (Elaphrus) lapponicus,NHMSYS0001718039,Red listing based on 2001 IUCN guidelines,Near Threatened,RedList_GB_post2001-NT
Elaphrus (Elaphrus) lapponicus,NHMSYS0001718039,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Elaphrus (Elaphrus) uliginosus,NHMSYS0001718040,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Elaphrus (Elaphrus) uliginosus,NHMSYS0001718040,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Elaphrus (Elaphrus) uliginosus,NHMSYS0001718040,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Elaphrus (Trichelaphrus) riparius,NHMSYS0001718042,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Elater ferrugineus,NBNSYS0000010968,Red Listing based on pre 1994 IUCN guidelines,Endangered,RedList_GB_Pre94-EN
Eledona agricola,NBNSYS0000024830,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Eledona agricola,NBNSYS0000024830,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Ellescus bipunctatus,NBNSYS0000025481,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Elodes elongata,NBNSYS0000024168,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Elodes minuta,NBNSYS0000024171,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Elodes minuta,NBNSYS0000024171,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Elodes pseudominuta,NHMSYS0001718058,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Elodes pseudominuta,NHMSYS0001718058,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Elodes tricuspis,NHMSYS0000524502,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_GB_post2001-VU
Emus hirtus,NBNSYS0000023533,Red Listing based on pre 1994 IUCN guidelines,Endangered,RedList_GB_Pre94-EN
Endophloeus markovichianus,NBNSYS0000024812,Red listing based on 2001 IUCN guidelines,Regionally Extinct,RedList_GB_post2001-RE
Enicmus brevicornis,NBNSYS0000024727,Rare and scarce species (not based on IUCN criteria),Nationally Notable,Notable
Enicmus fungicola,NHMSYS0020152078,Rare and scarce species (not based on IUCN criteria),Nationally Notable,Notable
Enicmus rugosus,NBNSYS0000024730,Rare and scarce species (not based on IUCN criteria),Nationally Notable,Notable
Enicocerus exsculptus,NHMSYS0001718067,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Enicocerus exsculptus,NHMSYS0001718067,Biodiversity Lists - Northern Ireland,Priority Species (Northern Ireland),NI_Priority
Enochrus bicolor,NHMSYS0001718076,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Enochrus halophilus,NBNSYS0000007731,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Enochrus nigritus,NHMSYS0001718083,Red listing based on 2001 IUCN guidelines,Near Threatened,RedList_GB_post2001-NT
Enochrus quadripunctatus,NHMSYS0001718084,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Enochrus quadripunctatus,NHMSYS0001718084,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Enochrus quadripunctatus agg.,NBNSYS0000007729,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Enochrus testaceus,NHMSYS0001718086,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Epierus comptus,NBNSYS0000022864,"Nationally Scarce, Nationally Rare and Other Species",Nationally Rare. Includes Red Listed taxa,NR-includes
Epierus comptus,NBNSYS0000022864,Red listing based on 2001 IUCN guidelines,Near Threatened,RedList_GB_post2001-NT
Epitrix atropae,NBNSYS0000011293,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Epitrix atropae,NBNSYS0000011293,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Epitrix atropae,NBNSYS0000011293,"Nationally Scarce, Nationally Rare and Other Species",Nationally Scarce. Includes Red Listed taxa,NS-includes
Epitrix pubescens,NHMSYS0020152092,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Epuraea (Epuraea) angustula,NHMSYS0020152096,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Epuraea (Epuraea) binotata,NHMSYS0020152098,Red Listing based on pre 1994 IUCN guidelines,Extinct,RedList_GB_Pre94-EX
Epuraea (Epuraea) distincta,NHMSYS0020152099,Rare and scarce species (not based on IUCN criteria),Nationally Notable A,Notable-A
Epuraea (Epuraea) fuscicollis,NHMSYS0020152100,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Epuraea (Epuraea) guttata,NHMSYS0020152101,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Epuraea (Epuraea) longula,NHMSYS0020152102,Rare and scarce species (not based on IUCN criteria),Nationally Notable B,Notable-B
Epuraea (Epuraea) neglecta,NHMSYS0020152105,Red Listing based on pre 1994 IUCN guidelines,IUCN (pre 1994) - Indeterminate,RedList_GB_Pre94-Inde
Epuraea (Epuraea) silacea,NHMSYS0020152108,Red Listing based on pre 1994 IUCN guidelines,Rare,RedList_GB_Pre94-R
